,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
0,619,0,1,42,2,0.0,1,1,1,101348.88
1,608,2,1,41,1,83807.86,1,0,1,112542.58
2,502,0,1,42,8,159660.8,3,1,0,113931.57
3,699,0,1,39,1,0.0,2,0,0,93826.63
4,850,2,1,43,2,125510.82,1,1,1,79084.1
5,645,2,0,44,8,113755.78,2,1,0,149756.71
6,822,0,0,50,7,0.0,2,1,1,10062.8
7,501,0,0,44,4,142051.07,2,0,1,74940.5
8,684,0,0,27,2,134603.88,1,1,1,71725.73
9,528,0,0,31,6,102016.72,2,0,0,80181.12
10,497,2,0,24,3,0.0,2,1,0,76390.01
11,476,0,1,34,10,0.0,2,1,0,26260.98
12,549,0,1,25,5,0.0,2,0,0,190857.79
13,635,2,1,35,7,0.0,2,1,1,65951.65
14,616,1,0,45,3,143129.41,2,0,1,64327.26
15,653,1,0,58,1,132602.88,1,1,0,5097.67
16,549,2,1,24,9,0.0,2,1,1,14406.41
17,587,2,0,45,6,0.0,1,0,0,158684.81
18,726,0,1,24,6,0.0,2,1,1,54724.03
19,732,0,0,41,8,0.0,2,1,1,170886.17
20,636,2,1,32,8,0.0,2,1,0,138555.46
21,510,2,1,38,4,0.0,1,1,0,118913.53
22,669,0,0,46,3,0.0,2,0,1,8487.75
23,846,0,1,38,5,0.0,1,1,1,187616.16
24,577,0,0,25,3,0.0,2,0,1,124508.29
25,756,1,0,36,2,136815.64,1,1,1,170041.95
26,571,0,0,44,9,0.0,2,0,0,38433.35
27,574,1,1,43,3,141349.43,1,1,1,100187.43
28,411,0,0,29,0,59697.17,2,1,1,53483.21
29,591,2,1,39,3,0.0,3,1,0,140469.38
30,533,0,0,36,7,85311.7,1,0,1,156731.91
31,553,1,0,41,9,110112.54,2,0,0,81898.81
32,520,2,1,42,6,0.0,2,1,1,34410.55
33,722,2,1,29,9,0.0,2,1,1,142033.07
34,475,0,1,45,0,134264.04,1,1,0,27822.99
35,490,2,0,31,3,145260.23,1,0,1,114066.77
36,804,2,0,33,7,76548.6,1,0,1,98453.45
37,850,0,0,36,7,0.0,1,1,1,40812.9
38,582,1,0,41,6,70349.48,2,0,1,178074.04
39,472,2,0,40,4,0.0,1,1,0,70154.22
40,465,0,1,51,8,122522.32,1,0,0,181297.65
41,556,0,1,61,2,117419.35,1,1,1,94153.83
42,834,0,1,49,2,131394.56,1,0,0,194365.76
43,660,2,1,61,5,155931.11,1,1,1,158338.39
44,776,1,1,32,4,109421.13,2,1,1,126517.46
45,829,1,1,27,9,112045.67,1,1,1,119708.21
46,637,1,1,39,9,137843.8,1,1,1,117622.8
47,550,1,0,38,2,103391.38,1,0,1,90878.13
48,776,1,1,37,2,103769.22,2,1,0,194099.12
49,698,1,0,44,10,116363.37,2,1,0,198059.16
50,585,1,0,36,5,146050.97,2,0,0,86424.57
51,788,0,1,33,5,0.0,2,0,0,116978.19
52,655,1,0,41,8,125561.97,1,0,0,164040.94
53,601,1,0,42,1,98495.72,1,1,0,40014.76
54,619,0,0,43,1,125211.92,1,1,1,113410.49
55,656,0,0,45,5,127864.4,1,1,0,87107.57
56,725,1,0,19,0,75888.2,1,0,0,45613.75
57,614,0,0,51,4,40685.92,1,1,1,46775.28
58,742,1,0,35,5,136857.0,1,0,0,84509.57
59,687,1,1,27,9,152328.88,2,0,0,126494.82
60,555,2,0,33,1,56084.69,2,0,0,178798.13
61,684,2,0,56,8,78707.16,1,1,1,99398.36
62,603,1,0,26,4,109166.37,1,1,1,92840.67
63,751,1,1,36,6,169831.46,2,1,1,27758.36
64,581,1,1,34,1,101633.04,1,1,0,110431.51
65,735,1,0,43,10,123180.01,2,1,1,196673.28
66,661,1,1,35,5,150725.53,2,0,1,113656.85
67,675,0,1,21,8,98373.26,1,1,0,18203.0
68,738,1,0,58,2,133745.44,4,1,0,28373.86
69,813,0,0,29,6,0.0,1,1,0,33953.87
70,657,2,1,37,0,163607.18,1,0,1,44203.55
71,604,1,1,25,5,157780.84,2,1,1,58426.81
72,519,0,0,36,9,0.0,2,0,1,145562.4
73,735,0,1,21,1,178718.19,2,1,0,22388.0
74,664,0,0,55,8,0.0,2,1,1,139161.64
75,678,0,1,32,9,0.0,1,1,1,148210.64
76,757,2,0,33,5,77253.22,1,0,1,194239.63
77,416,1,1,41,10,122189.66,2,1,0,98301.61
78,665,0,1,34,1,96645.54,2,0,0,171413.66
79,777,0,1,32,2,0.0,1,1,0,136458.19
80,543,0,1,36,3,0.0,2,0,0,26019.59
81,506,0,1,34,4,90307.62,1,1,1,159235.29
82,493,0,1,46,4,0.0,2,1,0,1907.66
83,750,2,0,22,3,121681.82,1,1,0,128643.35
84,729,0,0,30,9,0.0,2,1,0,151869.35
85,646,0,1,46,4,0.0,3,1,0,93251.42
86,635,1,1,28,3,81623.67,2,1,1,156791.36
87,647,2,1,44,5,0.0,3,1,1,174205.22
88,808,0,0,45,7,118626.55,2,1,0,147132.46
89,524,0,1,36,10,0.0,2,1,0,109614.57
90,769,0,0,29,8,0.0,2,1,1,172290.61
91,730,2,0,42,4,0.0,2,0,1,85982.47
92,515,2,0,35,10,176273.95,1,0,1,121277.78
93,773,2,0,41,9,102827.44,1,0,1,64595.25
94,814,1,0,29,8,97086.4,2,1,1,197276.13
95,710,2,0,22,8,0.0,2,0,0,99645.04
96,413,0,0,34,9,0.0,2,0,0,6534.18
97,665,0,1,40,6,0.0,1,1,1,161848.03
98,623,0,1,44,6,0.0,2,0,0,167162.43
99,738,0,0,31,9,82674.15,1,1,0,41970.72
100,528,2,0,36,7,0.0,2,1,0,60536.56
101,622,2,1,46,4,107073.27,2,1,1,30984.59
102,582,1,0,32,1,88938.62,1,1,1,10054.53
103,785,1,1,36,2,99806.85,1,0,1,36976.52
104,605,2,0,33,5,150092.8,1,0,0,71862.79
105,479,1,0,35,9,92833.89,1,1,0,99449.86
106,685,1,0,30,3,90536.81,1,0,1,63082.88
107,538,1,0,39,7,108055.1,2,1,0,27231.26
108,562,0,0,42,2,100238.35,1,0,0,86797.41
109,675,2,0,36,9,106190.55,1,0,1,22994.32
110,721,1,0,28,9,154475.54,2,0,1,101300.94
111,628,1,1,30,9,132351.29,2,1,1,74169.13
112,668,1,1,37,6,167864.4,1,1,0,115638.29
113,506,0,1,41,1,0.0,2,1,0,31766.3
114,524,1,1,31,8,107818.63,1,1,0,199725.39
115,699,1,0,34,4,185173.81,2,1,0,120834.48
116,828,0,0,34,8,129433.34,2,0,0,38131.77
117,674,2,0,39,6,120193.42,1,0,0,100130.95
118,656,0,1,39,6,0.0,2,1,0,141069.88
119,684,1,1,48,10,126384.42,1,1,1,198129.36
120,625,0,1,28,3,0.0,1,0,0,183646.41
121,432,0,0,42,9,152603.45,1,1,0,110265.24
122,549,0,1,52,1,0.0,1,0,1,8636.05
123,625,1,0,56,0,148507.24,1,1,0,46824.08
124,828,0,1,41,7,0.0,2,1,0,171378.77
125,770,0,0,24,9,101827.07,1,1,0,167256.35
126,758,0,1,34,3,0.0,2,1,1,124226.16
127,795,1,1,33,9,130862.43,1,1,1,114935.21
128,687,0,0,38,9,122570.87,1,1,1,35608.88
129,686,0,0,25,1,0.0,2,0,1,16459.37
130,789,1,0,39,7,124828.46,2,1,1,124411.08
131,589,1,1,50,5,144895.05,2,1,1,34941.23
132,461,1,1,34,5,63663.93,1,0,1,167784.28
133,637,0,0,40,2,133463.1,1,0,1,93165.34
134,584,2,1,48,2,213146.2,1,1,0,75161.25
135,579,2,1,35,1,129490.36,2,0,1,8590.83
136,756,1,0,44,10,137452.09,1,1,0,189543.9
137,663,0,0,34,7,0.0,2,1,1,180427.24
138,682,0,1,43,5,125851.93,1,1,1,193318.33
139,793,2,0,52,2,0.0,1,1,0,159123.82
140,691,0,1,31,5,40915.55,1,1,0,126213.84
141,485,2,1,21,5,113157.22,1,1,1,54141.5
142,635,2,1,29,8,138296.94,2,1,0,141075.51
143,650,0,0,37,5,106967.18,1,0,0,24495.03
144,735,0,0,44,9,120681.63,1,1,0,74836.34
145,416,0,0,32,0,0.0,2,0,1,878.87
146,754,2,1,32,7,0.0,2,1,0,89520.75
147,535,0,1,48,9,0.0,1,1,0,149892.79
148,716,2,0,42,8,0.0,2,1,0,180800.42
149,539,0,0,37,2,127609.59,1,1,0,98646.22
150,614,0,1,43,6,0.0,2,1,1,109041.53
151,706,2,0,57,7,0.0,1,1,0,17941.16
152,758,0,1,33,7,0.0,2,0,0,82996.47
153,586,2,1,28,2,0.0,2,1,1,92067.35
154,631,1,1,33,4,123246.7,1,0,0,112687.57
155,717,2,1,22,6,101060.25,1,0,1,84699.56
156,684,0,0,30,2,0.0,2,1,0,83473.82
157,800,0,1,49,7,108007.36,1,0,0,47125.11
158,721,2,1,36,2,0.0,2,1,1,106977.8
159,683,2,0,29,0,133702.89,1,1,0,55582.54
160,660,1,0,31,9,125189.75,2,1,1,139874.43
161,704,1,1,24,7,113034.22,1,1,0,162503.48
162,615,2,1,41,9,109013.23,1,1,0,196499.96
163,667,2,1,39,2,0.0,2,1,0,40721.24
164,682,1,0,24,9,57929.81,2,0,0,53134.3
165,484,0,1,29,4,130114.39,1,1,0,164017.89
166,628,1,0,27,5,95826.49,2,1,0,155996.96
167,480,1,0,44,10,129608.57,1,1,0,5472.7
168,578,0,0,30,4,169462.09,1,1,0,112187.11
169,512,0,0,40,5,0.0,2,1,1,146457.83
170,484,2,1,35,7,133868.21,1,1,1,27286.1
171,510,0,1,30,0,0.0,2,1,1,130553.47
172,606,1,0,36,5,190479.48,2,0,0,179351.89
173,597,2,1,40,8,101993.12,1,0,1,94774.12
174,754,1,1,55,3,161608.81,1,1,0,8080.85
175,850,2,1,45,2,122311.21,1,1,1,19482.5
176,778,1,1,45,1,162150.42,2,1,0,174531.27
177,636,0,0,42,2,0.0,2,1,1,55470.78
178,804,0,1,50,4,0.0,1,1,1,8546.87
179,514,0,0,32,8,0.0,2,1,0,95857.18
180,730,0,1,39,1,99010.67,1,1,0,194945.8
181,525,2,1,37,0,0.0,1,0,1,131521.72
182,616,2,0,30,5,0.0,2,0,1,196108.51
183,687,1,1,34,7,111388.18,2,1,0,148564.76
184,715,0,1,41,8,56214.85,2,0,0,92982.61
185,512,0,1,36,3,84327.77,2,1,0,17675.36
186,479,0,0,40,1,0.0,2,0,0,114996.43
187,601,0,0,32,8,93012.89,1,1,0,86957.42
188,580,2,0,29,9,61710.44,2,1,0,128077.8
189,807,0,0,35,3,174790.15,1,1,1,600.36
190,616,2,1,32,6,0.0,2,1,1,43001.46
191,721,1,0,37,3,107720.64,1,1,1,158591.12
192,501,0,0,57,10,0.0,2,1,1,47847.19
193,521,0,0,35,6,96423.84,1,1,0,10488.44
194,850,2,0,30,2,141040.01,1,1,1,5978.2
195,759,0,0,42,4,105420.18,1,0,1,121409.06
196,516,2,0,50,5,0.0,1,0,1,146145.93
197,711,0,1,38,2,129022.06,2,1,1,14374.86
198,512,2,0,33,3,176666.62,1,1,0,94670.77
199,550,0,0,37,3,0.0,1,1,1,179670.31
200,608,2,1,41,3,89763.84,1,0,0,199304.74
201,618,0,0,34,5,134954.53,1,1,1,151954.39
202,643,0,0,45,5,0.0,1,1,0,142513.5
203,671,0,0,45,2,106376.85,1,0,1,158264.62
204,689,1,0,33,2,161814.64,2,1,0,169381.9
205,603,0,0,31,8,0.0,2,1,1,169915.02
206,620,0,1,41,9,0.0,2,0,0,88852.47
